model_name,image,link,price,fuel_type,transmission
2015 Volvo V40 Cross Country T4,https://images10.gaadi.com/usedgaadi-sellcar/UsedCar/202d94f2-0337-49d0-a567-69bf68882585/6fdac89c-7418-4fac-a013-3092beebeea4.jpg?imwidth=420,/used-car-details/used-Volvo-V40-Cross-Country-T4-cars-Bangalore_4b70a5cb-f504-4052-b3a7-ee7f071cec8b.htm,₹15 LakhCompare,Petrol,Automatic
2019 Volvo S60 D4 Momentum,https://images10.gaadi.com/usedcar_image/3986061/original/processed_81e6d2a13f73fbd2fc7b4e7fa6e2474b.jpg?imwidth=420,/used-car-details/used-Volvo-S60-D4-Momentum-cars-Bangalore_c60c5c18-12ad-4623-8304-8421dfe2160b.htm,₹41.45 LakhCompare,Diesel,Automatic
2018 Volvo XC60 D5 Inscription,https://images10.gaadi.com/usedcar_image/4045046/original/processed_7f1f9dd6e25959e97f4ed9fa20411c98.jpeg?imwidth=420,/used-car-details/used-Volvo-Xc60-D5-Inscription-cars-Bangalore_d610a663-9eee-40a4-8f69-427dbe71cfd5.htm,₹43.95 LakhCompare,Diesel,Automatic
2016 Volvo XC 90 D5 Inscription,https://images10.gaadi.com/usedcar_image/4048301/original/processed_024ce48ec7d915d2978f9600fd9842a7.jpg?imwidth=420,/used-car-details/used-Volvo-Xc-90-D5-Inscription-cars-Bangalore_587487d3-de91-4d1f-a521-705bd57ddc26.htm,₹43.50 LakhCompare,Diesel,Automatic
2019 Volvo XC60 D4 Momentum,https://images10.gaadi.com/usedcar_image/3984078/original/processed_5900d40e4133e0878f44838c76792ff5.jpg?imwidth=420,/used-car-details/used-Volvo-Xc60-D4-Momentum-cars-Bangalore_b2ef4ed1-ec6b-4f5c-aed3-995a49d6e434.htm,₹41.45 LakhCompare,Diesel,Automatic
2018 Volvo XC 90 D5 Inscription BSIV,https://images10.gaadi.com/usedcar_image/4041155/original/processed_ea4b76db5ddc2c292403ff43614a84d6.jpg?imwidth=420,/used-car-details/used-Volvo-Xc-90-D5-Inscription-Bsiv-cars-Bangalore_0bb55390-ddb7-437e-a57f-b5fbe2d48d74.htm,₹47 LakhCompare,Diesel,Automatic
2018 Volvo XC40 D4 R-Design,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc40-D4-R-Design-cars-Bangalore_affbb3a4-84de-4ad2-813b-f1f6205dea75.htm,₹33.77 LakhCompare,Diesel,Automatic
2021 Volvo S60 T4 Inscription,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-S60-T4-Inscription-cars-Bangalore_587a057d-499a-49cd-b358-f0d4b0315088.htm,₹34 LakhCompare,Petrol,Automatic
N/A,https://stimg.cardekho.com/usedcar/SRP/Icon-Container.svg,N/A,N/A,N/A,N/A
2013 Volvo XC60 D5 Summum,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc60-D5-Summum-cars-Bangalore_1edb3c92-860d-4a28-b8cd-be765f3f2021.htm,₹14.50 LakhCompare,Diesel,Automatic
2017 Volvo S60 Cross Country D4 AWD BSIV,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-S60-Cross-Country-D4-Awd-Bsiv-cars-Bangalore_ae67e7db-d054-4bfe-804c-6c0804b60646.htm,₹17 LakhCompare,Diesel,Automatic
2022 Volvo XC 90 Hybrid,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc-90-Hybrid-cars-Bangalore_225ed1d6-f6c8-4f3c-b1da-47723ab9e3f4.htm,₹92 LakhCompare,Petrol,Automatic
